2811873,0,0,0,0,0,0,0,0,0,0,0,0,11,46,34,38,28,34,305,259,201,195,243,202,230,224,247,205,2502
2810957,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,1,1,5,6,6,10,13,12,10,12,17,5,10,115
2811059,0,0,0,0,0,0,0,0,0,0,0,3,2,3,3,2,3,0,0,5,5,5,3,0,8,4,7,4,57
2810933,0,0,0,0,0,0,0,0,0,0,0,2,2,6,7,4,1,14,53,29,42,25,38,28,28,28,35,25,367
2810597,0,0,0,0,0,0,0,0,0,0,0,25,42,44,42,75,173,106,365,377,231,222,276,231,209,154,222,221,3015
2810900,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,1,3,8,5,12,15,7,7,11,11,10,15,112
2810868,0,0,0,0,0,0,0,0,0,0,0,2,3,9,1,5,6,13,36,35,54,60,38,47,39,30,53,44,475
2810860,0,0,0,0,0,0,0,0,0,0,0,0,3,6,8,3,4,9,31,30,45,41,31,48,42,24,52,40,417
2810858,0,0,0,0,0,0,0,0,0,0,0,0,5,7,2,6,5,15,27,44,43,57,36,51,57,30,47,36,468
2810528,0,0,0,0,0,0,0,0,0,0,0,14,50,30,46,44,118,89,260,261,191,171,186,166,150,108,190,165,2239
2809631,0,0,0,0,0,0,0,0,0,0,0,12,101,28,40,66,56,49,146,139,149,257,107,96,90,55,89,86,1566
2808196,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,3,1,16,18,12,15,18,6,9,9,3,14,135
2810956,0,0,0,0,0,0,0,0,0,0,0,2,4,8,13,6,9,24,84,52,67,55,54,52,38,35,55,40,598
2810665,0,0,0,0,0,0,0,0,0,0,0,28,41,10,2,11,8,11,32,45,25,31,30,32,26,29,19,36,416
2810598,0,0,0,0,0,0,0,0,0,0,0,2,5,11,3,7,3,8,35,36,27,36,35,22,22,23,27,27,329
2811593,0,0,0,0,0,0,4,0,1,2,1,10,3,13,12,7,5,8,12,12,9,10,14,6,11,11,7,6,164
2811646,0,0,0,0,0,0,0,0,0,0,0,25,16,17,32,13,21,21,22,27,13,15,22,25,19,12,10,10,320
2811735,0,0,0,0,0,0,2,2,0,1,0,6,34,31,22,14,23,22,22,40,46,31,34,44,36,37,80,51,578
2811790,0,0,0,0,0,0,0,0,2,0,0,7,29,37,32,18,36,50,63,95,67,60,78,78,42,34,92,52,872
2812668,0,1,0,0,0,0,0,0,0,0,0,18,49,57,54,34,46,44,96,100,91,101,73,94,88,86,71,123,1226
2810020,0,0,0,0,0,0,0,0,0,0,0,7,29,19,30,37,61,47,107,117,76,69,70,61,64,43,86,81,1004
2810076,0,0,0,0,0,1,6,2,0,1,4,28,55,33,39,76,125,70,235,235,162,128,141,147,124,73,163,133,1981
2823413,0,0,0,0,0,0,3,0,0,0,0,8,7,5,14,10,3,7,25,26,24,11,11,15,20,14,7,7,217
2818710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2818701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2818728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2823356,0,0,0,0,0,0,0,0,0,0,0,0,3,11,5,0,3,5,4,1,4,3,5,7,5,4,2,11,73
2823362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,12,0,2,0,3,0,1,0,3,26
2823388,2,0,0,0,0,0,0,0,0,0,0,7,2,2,13,11,5,6,23,19,22,16,13,13,21,21,10,11,217
2821499,17695,11332,13767,10624,7829,6204,175,0,0,0,0,4,14,33,40,35,28,80,161,174,134,131,59,39,7,35,34,38,68672
2823343,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4
2823335,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
2823523,0,0,0,1,0,0,0,0,0,0,0,34,71,87,63,59,58,93,94,108,121,100,131,110,105,61,92,84,1472
2823577,0,0,0,0,0,0,0,0,0,0,0,13,38,22,19,24,14,28,46,38,28,33,43,24,17,21,11,21,440
2839212,1,0,0,0,0,0,0,0,0,0,0,29,81,102,78,100,71,99,196,261,236,188,292,199,239,202,237,193,2804
2823475,1,0,0,0,0,0,0,0,0,0,0,6,10,12,35,14,21,21,53,60,39,31,54,33,17,10,16,10,443
2822389,0,0,0,0,0,0,0,0,0,0,0,93,141,147,502,327,409,370,1012,976,845,693,662,599,592,482,631,576,9057
2822393,1,0,0,0,0,0,0,0,0,0,0,105,161,120,553,321,392,318,676,684,558,489,481,440,383,305,432,393,6812
2829555,0,0,0,0,0,0,0,0,0,0,0,6,12,9,7,25,6,13,22,14,14,30,25,12,2,14,11,18,240
2837938,0,0,0,0,0,0,0,0,0,0,0,6,19,28,42,32,29,88,153,154,121,110,98,155,102,95,134,135,1501
2839109,0,0,0,0,0,0,0,0,0,0,0,11,106,111,79,113,88,91,95,146,141,135,150,121,185,158,139,295,2164
2829642,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,3,4,3,3,2,2,7,3,6,2,6,48
